posicao,combinacao,pre,proc,pos,n_avaliados,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precisao_at_1,tempo_total_s
97,basico + e5_taxonomia + medidas_taxonomia,basico,e5_taxonomia,medidas_taxonomia,1375,0.607,0.5011,0.6705,0.7484,0.8044,0.5011,0.2
98,nada + e5_kg + medidas_graphrag,nada,e5_kg,medidas_graphrag,1375,0.5848,0.456,0.6684,0.7484,0.84,0.456,0.71
99,basico + e5_kg + medidas_graphrag_idf_taxonomia,basico,e5_kg,medidas_graphrag_idf_taxonomia,1375,0.5787,0.4458,0.6684,0.752,0.8444,0.4458,0.58
100,basico + e5_kg + medidas_graphrag,basico,e5_kg,medidas_graphrag,1375,0.5861,0.4582,0.6669,0.7527,0.8415,0.4582,0.55
101,nada + e5_tfidf + graphrag_idf,nada,e5_tfidf,graphrag_idf,1375,0.5774,0.4342,0.6662,0.7615,0.8538,0.4342,1.51
102,nada + e5_taxonomia + taxonomia,nada,e5_taxonomia,taxonomia,1375,0.6074,0.5055,0.6662,0.7265,0.792,0.5055,0.09
103,nada + e5_tfidf_taxonomia + graphrag_idf,nada,e5_tfidf_taxonomia,graphrag_idf,1375,0.5727,0.4211,0.6647,0.7644,0.864,0.4211,0.69
104,nada + e5_tfidf_taxonomia + medidas_taxonomia,nada,e5_tfidf_taxonomia,medidas_taxonomia,1375,0.5746,0.4298,0.664,0.7564,0.8567,0.4298,0.65
105,nada + e5_kg + medidas_graphrag_idf_taxonomia,nada,e5_kg,medidas_graphrag_idf_taxonomia,1375,0.5779,0.4451,0.6633,0.7498,0.848,0.4451,0.76
106,basico + e5_tfidf_taxonomia + taxonomia,basico,e5_tfidf_taxonomia,taxonomia,1375,0.5485,0.3876,0.6604,0.7411,0.8611,0.3876,0.52
107,basico + e5_kg + medidas_taxonomia,basico,e5_kg,medidas_taxonomia,1375,0.5745,0.4422,0.656,0.7469,0.8335,0.4422,0.47
108,nada + e5_kg + medidas_taxonomia,nada,e5_kg,medidas_taxonomia,1375,0.5715,0.4356,0.6531,0.7505,0.8465,0.4356,0.63
109,nada + e5_kg + medidas_graphrag_taxonomia,nada,e5_kg,medidas_graphrag_taxonomia,1375,0.5633,0.4276,0.6516,0.7375,0.8291,0.4276,0.73
110,basico + e5_taxonomia + taxonomia,basico,e5_taxonomia,taxonomia,1375,0.5933,0.4924,0.6509,0.7178,0.7745,0.4924,0.13
111,basico + e5_kg + medidas_graphrag_taxonomia,basico,e5_kg,medidas_graphrag_taxonomia,1375,0.5625,0.4276,0.6465,0.7338,0.8313,0.4276,0.6
112,nada + e5_kg + taxonomia_rotulo,nada,e5_kg,taxonomia_rotulo,1375,0.5515,0.4095,0.6385,0.7287,0.8327,0.4095,0.65
113,nada + e5_tfidf_taxonomia + taxonomia,nada,e5_tfidf_taxonomia,taxonomia,1375,0.549,0.3985,0.6378,0.7375,0.8516,0.3985,0.6
114,basico + e5_kg + taxonomia_rotulo,basico,e5_kg,taxonomia_rotulo,1375,0.5539,0.4211,0.6356,0.7302,0.8196,0.4211,0.46
115,basico + e5_tfidf_kg + graphrag_idf,basico,e5_tfidf_kg,graphrag_idf,1375,0.557,0.4175,0.6335,0.7302,0.8364,0.4175,0.6
116,nada + e5_kg + taxonomia,nada,e5_kg,taxonomia,1375,0.5506,0.416,0.6269,0.7244,0.8393,0.416,0.56
117,basico + e5_kg + taxonomia,basico,e5_kg,taxonomia,1375,0.5547,0.4255,0.6262,0.72,0.824,0.4255,0.41
118,nada + e5_tfidf_kg + graphrag_idf,nada,e5_tfidf_kg,graphrag_idf,1375,0.5416,0.4029,0.6218,0.704,0.8102,0.4029,0.61
119,nada + e5_kg + graphrag_idf,nada,e5_kg,graphrag_idf,1375,0.5294,0.3942,0.6051,0.6858,0.7935,0.3942,0.67
120,basico + e5_kg + graphrag_idf,basico,e5_kg,graphrag_idf,1375,0.5264,0.3913,0.5942,0.6938,0.7978,0.3913,0.51
